y,t,g,Q
0.0,0.0,0.11428426951169968,9.28511599340709e-06
0.0,0.0,0.02644289657473564,0.0006681882659904659
0.0,0.0,0.05296843871474266,0.0026050256565213203
0.0,0.0,0.04394562914967537,0.00029518583323806524
0.0,0.0,0.04280920699238777,3.695877967402339e-05
0.0,0.0,0.11223296821117401,1.836682167777326e-05
0.0,0.0,0.05493972823023796,0.0003090293612331152
0.0,1.0,0.8683830499649048,0.0005669397651217878
0.0,0.0,0.21950025856494904,0.00019062533101532608
0.0,1.0,0.09785263985395432,3.245561856601853e-06
0.0,1.0,0.894344687461853,3.445438778726384e-05
0.0,0.0,0.056248344480991364,0.00021557048603426665
0.0,0.0,0.13172250986099243,0.0001017229151329957
0.0,0.0,0.12225218117237091,0.0007899153279140592
0.0,0.0,0.011549197137355804,5.472776683745906e-05
0.0,1.0,0.9822381138801575,0.00015554761921521276
0.0,0.0,0.06563356518745422,0.0001882957003545016
0.0,0.0,0.03159250319004059,0.00017404342361260206
0.0,0.0,0.0052567217499017715,0.00046420219587162137
0.0,0.0,0.03999340534210205,0.004744348581880331
0.0,0.0,0.011058702133595943,0.00036356286727823317
0.0,0.0,0.02881564199924469,0.0012406405294314027
0.0,0.0,0.003935700748115778,9.214304736815393e-05
0.0,1.0,0.9039909839630127,0.0071618566289544106
0.0,0.0,0.002816207241266966,0.0014839668292552233
0.0,1.0,0.9395294189453125,8.379763312404975e-05
0.0,1.0,0.9201849102973938,0.000820990651845932
0.0,0.0,0.005231292452663183,0.0001784825581125915
1.0,0.0,0.026259806007146835,0.00016555424372199923
0.0,0.0,0.0076769497245550156,7.417470624204725e-05
0.0,0.0,0.2451215386390686,2.438699630147312e-05
0.0,0.0,0.015160623006522655,0.0016900500049814582
0.0,0.0,0.01664792001247406,0.0006941642495803535
0.0,0.0,0.07772444188594818,0.01436074823141098
0.0,1.0,0.8934566974639893,0.00028880516765639186
0.0,1.0,0.02149677835404873,4.654851363738999e-05
1.0,0.0,0.021533995866775513,0.0009116107830777764
0.0,0.0,0.09848105162382126,0.0034938994795084
0.0,1.0,0.2758117914199829,3.9278405893128365e-05
0.0,0.0,0.019391292706131935,0.00020583030709531158
0.0,0.0,0.028220176696777344,4.171730688540265e-05
0.0,0.0,0.013059324584901333,0.028086252510547638
0.0,1.0,0.7611647844314575,2.8165932235424407e-06
0.0,0.0,0.006677667610347271,0.0006561242043972015
0.0,0.0,0.047123461961746216,0.0016531423898413777
0.0,1.0,0.2789594531059265,3.198040576535277e-05
0.0,1.0,0.9848999977111816,0.000500620692037046
0.0,0.0,0.06261248141527176,4.942137820762582e-06
0.0,0.0,0.06032038480043411,4.0281214751303196e-05
0.0,1.0,0.41059795022010803,8.650580980429368e-07
0.0,0.0,0.022290397435426712,7.20326397640747e-06
0.0,0.0,0.019981207326054573,9.400516319146845e-06
0.0,0.0,0.013787982985377312,1.2169686669949442e-05
0.0,1.0,0.9787319898605347,0.003515286138281226
0.0,0.0,0.0037535426672548056,4.4940719817532226e-05
0.0,1.0,0.9546459913253784,0.0001818828022805974
0.0,0.0,0.08518817275762558,0.00011603756865952164
0.0,1.0,0.7057932615280151,1.8056589397019707e-05
0.0,0.0,0.04307955503463745,0.0005405695992521942
0.0,0.0,0.040923845022916794,3.6527413612930104e-05
0.0,0.0,0.06153600662946701,0.0008211322710849345
0.0,0.0,0.2351989597082138,7.77600216679275e-05
0.0,1.0,0.34510722756385803,0.00011616211122600362
0.0,0.0,0.052398692816495895,4.5319531636778265e-05
0.0,0.0,0.05364363640546799,0.0006564397481270134
0.0,0.0,0.03988506644964218,7.89175282989163e-06
0.0,0.0,0.019369304180145264,6.820163980592042e-05
0.0,0.0,0.005106110125780106,1.146788463302073e-06
0.0,1.0,0.9441241025924683,0.0020889798179268837
0.0,0.0,0.12604199349880219,0.015154600143432617
0.0,0.0,0.14580883085727692,4.371251998236403e-05
0.0,0.0,0.13384772837162018,1.5673533198423684e-05
0.0,0.0,0.014993627555668354,0.0024656245950609446
0.0,0.0,0.09376741200685501,5.737706942454679e-06
0.0,1.0,0.7277969121932983,4.7045610699569806e-05
0.0,0.0,0.03709902986884117,0.0008988711633719504
1.0,0.0,0.14630798995494843,1.4782874131924473e-05
0.0,0.0,0.18528644740581512,0.010648566298186779
0.0,0.0,0.029561467468738556,0.00033746330882422626
0.0,1.0,0.043843116611242294,0.0029733458068221807
0.0,0.0,0.10595355182886124,2.640544335008599e-05
0.0,0.0,0.10332288593053818,7.511990133934887e-06
0.0,0.0,0.031100478023290634,3.3234975944651524e-06
0.0,0.0,0.11156608909368515,2.7550609956961125e-05
0.0,0.0,0.06343130767345428,0.0005778680788353086
0.0,0.0,0.05534634366631508,3.523114355630241e-05
0.0,0.0,0.07568430155515671,2.4799745006021112e-05
0.0,0.0,0.029704706743359566,0.0034422362223267555
0.0,0.0,0.0167988333851099,0.00015785489813424647
0.0,0.0,0.04807068035006523,6.081600076868199e-05
0.0,0.0,0.03129614144563675,6.191719876369461e-06
0.0,0.0,0.05199633538722992,6.864677561679855e-05
0.0,1.0,0.8749823570251465,5.245651846053079e-05
0.0,0.0,0.14069703221321106,0.00010822259355336428
0.0,1.0,0.952244758605957,0.0018797016236931086
0.0,1.0,0.9566757082939148,0.0001981802488444373
0.0,0.0,0.02403588965535164,0.00015180704940576106
0.0,0.0,0.09489504992961884,3.0939536372898147e-05
0.0,0.0,0.0991678237915039,0.00013263356231618673
0.0,0.0,0.0371277816593647,0.0012748197186738253
0.0,1.0,0.9504943490028381,3.604833909776062e-05
0.0,0.0,0.08115045726299286,6.8376493800315075e-06
0.0,0.0,0.02497461810708046,6.71392263029702e-05
0.0,0.0,0.013850818388164043,0.0037451607640832663
0.0,0.0,0.022914055734872818,0.00014157351688481867
0.0,0.0,0.009878348559141159,0.0002216011780546978
0.0,0.0,0.02275548130273819,3.306240978417918e-05
0.0,0.0,0.007045834790915251,1.2452126611606218e-05
0.0,1.0,0.889154314994812,3.5459640912449686e-06
0.0,0.0,0.0012374204816296697,0.0002924390137195587
0.0,1.0,0.8834571838378906,0.0006832311046309769
0.0,1.0,0.9195818901062012,3.9429337448382284e-06
0.0,0.0,0.004492897540330887,0.00045232963748276234
0.0,0.0,0.02566007524728775,2.1514861145988107e-05
0.0,0.0,0.00309731368906796,0.0001421634660800919
0.0,0.0,0.01748507283627987,3.0224227884900756e-05
0.0,0.0,0.052033308893442154,0.0001583327684784308
0.0,1.0,0.8323262333869934,2.6851354050450027e-05
0.0,0.0,0.021138887852430344,2.96345679089427e-05
0.0,0.0,0.0026471952442079782,0.00012477037671487778
0.0,1.0,0.9804774522781372,4.5146945922169834e-05
0.0,1.0,0.9363778233528137,0.00022671002079732716
0.0,0.0,0.0012291225139051676,3.7812475056853145e-05
0.0,0.0,0.015453806146979332,0.00037910908577032387
0.0,0.0,0.32817357778549194,1.073301518772496e-06
0.0,0.0,0.01804785430431366,2.4295964067277964e-06
0.0,0.0,0.02107432670891285,7.862800543989579e-07
0.0,0.0,0.01233246922492981,0.0006583036156371236
0.0,1.0,0.9921615719795227,7.910620479378849e-05
0.0,0.0,0.011822810396552086,9.417753062734846e-06
0.0,1.0,0.9763778448104858,0.0002954462543129921
0.0,0.0,0.03297941014170647,9.622391371522099e-05
