y,t,g,Q
0.0,0.0,0.1849469244480133,2.9096203434164636e-05
0.0,0.0,0.08801108598709106,5.354897893994348e-07
0.0,0.0,0.093038409948349,0.00014580876450054348
0.0,0.0,0.24303331971168518,0.0004236972890794277
0.0,0.0,0.11605551838874817,7.814919626980554e-06
0.0,0.0,0.038462910801172256,7.177741281338967e-06
0.0,0.0,0.03515148535370827,0.002560653956606984
0.0,1.0,0.9953448176383972,1.5241016626532655e-05
0.0,0.0,0.5290139317512512,1.650939702813048e-05
0.0,1.0,0.48558011651039124,0.107415571808815
0.0,1.0,0.9966956377029419,0.027656227350234985
0.0,0.0,0.02856670506298542,2.393937211309094e-05
0.0,0.0,0.03551042824983597,8.411546332354192e-06
0.0,0.0,0.2234274297952652,0.0006308365846052766
0.0,0.0,0.04032604768872261,3.900168394466164e-06
0.0,1.0,0.9992984533309937,0.015197168104350567
0.0,0.0,0.1333790272474289,0.0007295595714822412
0.0,0.0,0.02630702778697014,0.0038579427637159824
0.0,0.0,0.0034221510868519545,0.002895923098549247
0.0,0.0,0.016717035323381424,0.0006843037554062903
0.0,0.0,0.016835732385516167,0.02103635109961033
0.0,0.0,0.01806672289967537,0.6176717281341553
0.0,0.0,0.010723588056862354,2.820748522935901e-05
0.0,1.0,0.9776740074157715,1.979904845939018e-05
0.0,0.0,0.003604075638577342,1.6157840718733496e-06
0.0,1.0,0.9530961513519287,0.00026377520407550037
0.0,1.0,0.9953240752220154,0.010473305359482765
0.0,0.0,0.0011617933632805943,0.00011881018144777045
1.0,0.0,0.0326315276324749,0.0014586631441488862
0.0,0.0,0.02762106992304325,0.005326907150447369
0.0,0.0,0.3392578065395355,0.0009350098553113639
0.0,0.0,0.07809095084667206,0.11677569150924683
0.0,0.0,0.047921787947416306,0.00348961865529418
0.0,0.0,0.025412902235984802,0.0002228865778306499
0.0,1.0,0.8086237907409668,4.050969073432498e-05
0.0,1.0,0.007576076313853264,3.8550108001800254e-05
1.0,0.0,0.0037548572290688753,0.00013895906158722937
0.0,0.0,0.052319008857011795,4.024103418487357e-06
0.0,1.0,0.3329034447669983,4.887977775069885e-05
0.0,0.0,0.008384643122553825,0.013541004620492458
0.0,0.0,0.007930753752589226,0.00022271386114880443
0.0,0.0,0.00945416558533907,0.023416051641106606
0.0,1.0,0.7312182784080505,0.0007061581709422171
0.0,0.0,0.004123222082853317,0.00027673589647747576
0.0,0.0,0.010988393798470497,0.39639848470687866
0.0,1.0,0.09588351100683212,0.00011170536890858784
0.0,1.0,0.9859333634376526,1.2641668035939801e-05
0.0,0.0,0.01867482252418995,6.108867182774702e-06
0.0,0.0,0.020270267501473427,8.800865543889813e-06
0.0,1.0,0.2682421803474426,1.7073167327907868e-05
0.0,0.0,0.008384643122553825,7.979397923918441e-05
0.0,0.0,0.008393822237849236,0.0004994900664314628
0.0,0.0,0.009178933687508106,1.0547757938184077e-06
0.0,1.0,0.9565858244895935,0.000724424549844116
0.0,0.0,0.011845170520246029,1.5809442857062095e-06
0.0,1.0,0.9503939151763916,0.0009835056262090802
0.0,0.0,0.12432030588388443,0.0016238171374425292
0.0,1.0,0.7342329621315002,1.1016059033863712e-06
0.0,0.0,0.20962689816951752,0.0001023843651637435
0.0,0.0,0.08807504177093506,0.0004472550645004958
0.0,0.0,0.10482826083898544,2.5405517590115778e-05
0.0,0.0,0.3089231848716736,1.0643322639225516e-05
0.0,1.0,0.3022984564304352,2.4684477466507815e-06
0.0,0.0,0.07567562907934189,3.0743970569346857e-07
0.0,0.0,0.21067196130752563,3.255865885876119e-05
0.0,0.0,0.18541426956653595,1.0643322639225516e-05
0.0,0.0,0.010553805157542229,5.19765717399423e-06
0.0,0.0,0.01151647325605154,0.0010150349698960781
0.0,1.0,0.9719198346138,0.07076052576303482
0.0,0.0,0.12735824286937714,1.6951926227193326e-05
0.0,0.0,0.2826721966266632,8.076483209151775e-05
0.0,0.0,0.15742725133895874,0.2033812403678894
0.0,0.0,0.05280352383852005,4.426139275892638e-05
0.0,0.0,0.12808366119861603,1.789082307368517e-05
0.0,1.0,0.8254590630531311,8.165283361449838e-05
0.0,0.0,0.020463697612285614,0.0009904720354825258
1.0,0.0,0.15070022642612457,5.6779335864121094e-05
0.0,0.0,0.1987990438938141,0.0015981178730726242
0.0,0.0,0.023769348859786987,5.6142973335227e-05
0.0,1.0,0.1432880014181137,0.0005443585105240345
0.0,0.0,0.2568327486515045,0.019687073305249214
0.0,0.0,0.19448089599609375,2.5773293600650504e-05
0.0,0.0,0.05024071782827377,6.835784915892873e-06
0.0,0.0,0.2331928163766861,0.0003539015306159854
0.0,0.0,0.21414931118488312,0.00024875011877156794
0.0,0.0,0.16406403481960297,0.0026965122669935226
0.0,0.0,0.23803985118865967,1.4992529941082466e-05
0.0,0.0,0.07512156665325165,0.000273991929134354
0.0,0.0,0.04242286458611488,0.0011406297562643886
0.0,0.0,0.059651728719472885,0.0004975728807039559
0.0,0.0,0.09416799992322922,1.5389305190183222e-05
0.0,0.0,0.0919303297996521,2.5947827452910133e-05
0.0,1.0,0.863450288772583,9.319918717665132e-06
0.0,0.0,0.2767968773841858,0.00027187116211280227
0.0,1.0,0.9213880300521851,1.955500920303166e-06
0.0,1.0,0.9823203086853027,3.6949666082364274e-06
0.0,0.0,0.043304409831762314,0.0003825336170848459
0.0,0.0,0.17857664823532104,2.7045252863899805e-05
0.0,0.0,0.2614215910434723,2.7938240236835554e-06
0.0,0.0,0.07965971529483795,9.308555308962241e-05
0.0,1.0,0.9654730558395386,0.00012983866326976568
0.0,0.0,0.13683345913887024,7.45129436836578e-05
0.0,0.0,0.044863440096378326,5.153663732926361e-05
0.0,0.0,0.017117634415626526,0.00929438229650259
0.0,0.0,0.03410717844963074,2.1810379621456377e-05
0.0,0.0,0.012684522196650505,0.0003625382378231734
0.0,0.0,0.03506696969270706,0.00045224104542285204
0.0,0.0,0.003601121250540018,6.23411760898307e-05
0.0,1.0,0.8957328200340271,7.534096948802471e-05
0.0,0.0,0.0008347613038495183,0.00036257278406992555
0.0,1.0,0.7523778080940247,6.432709051296115e-05
0.0,1.0,0.8643101453781128,0.00034888318623416126
0.0,0.0,0.003709756303578615,0.0005275714211165905
0.0,0.0,0.057119954377412796,0.0011364888632670045
0.0,0.0,0.0031732453498989344,0.0003401224676053971
0.0,0.0,0.031174318864941597,9.271242015529424e-05
0.0,0.0,0.0844772681593895,0.0010284754680469632
0.0,1.0,0.8819522857666016,9.30417354538804e-06
0.0,0.0,0.015034209936857224,0.00022555887699127197
0.0,0.0,0.002130819484591484,0.0005731665878556669
0.0,1.0,0.990872323513031,0.00010190689499722794
0.0,1.0,0.9409811496734619,2.4204580768127926e-05
0.0,0.0,0.0006262657698243856,0.0003842303704004735
0.0,0.0,0.02500809170305729,0.0002143859164789319
0.0,0.0,0.2741624712944031,0.00011262186308158562
0.0,0.0,0.007930753752589226,7.979397923918441e-05
0.0,0.0,0.007337785325944424,0.0004571156750898808
0.0,0.0,0.006110736634582281,0.0018355008214712143
0.0,1.0,0.9854722619056702,8.1557227531448e-06
0.0,0.0,0.011845170520246029,1.5809442857062095e-06
0.0,1.0,0.9775105118751526,0.0007514971657656133
0.0,0.0,0.04645361378788948,0.0005030544707551599
0.0,1.0,0.05572943016886711,5.3256637329468504e-05
0.0,0.0,0.06532345712184906,2.8772171845048433e-06
0.0,0.0,0.04893719032406807,5.084389340481721e-05
0.0,0.0,0.08649802953004837,2.369330104556866e-06
0.0,0.0,0.2301337718963623,0.0005229939706623554
0.0,0.0,0.348052442073822,0.00015139131573960185
0.0,0.0,0.040909718722105026,3.473255389963015e-07
0.0,0.0,0.008473416790366173,4.718143100035377e-05
0.0,0.0,0.012639276683330536,0.0002427067665848881
0.0,0.0,0.004467872902750969,0.00042868280434049666
0.0,0.0,0.01036394014954567,0.00217891251668334
0.0,1.0,0.7933611273765564,7.573334005428478e-05
0.0,0.0,0.1308111697435379,9.400604176335037e-05
0.0,0.0,0.016213782131671906,0.00013107604172546417
0.0,0.0,0.08786915987730026,0.0008007597643882036
0.0,0.0,0.04515686631202698,6.82525205775164e-05
0.0,0.0,0.0880122110247612,7.011619891272858e-05
0.0,0.0,0.8043971061706543,7.121628004824743e-05
0.0,0.0,0.2280396968126297,5.0965496484423056e-05
0.0,0.0,0.12011133134365082,0.004469402600079775
0.0,0.0,0.26877498626708984,0.0014912559418007731
0.0,0.0,0.023829132318496704,0.0004980665980838239
0.0,1.0,0.09373771399259567,0.00021452353394124657
0.0,0.0,0.18736574053764343,0.013833516277372837
0.0,1.0,0.10355991870164871,2.88638261736196e-06
0.0,1.0,0.07123909145593643,1.985795506698196e-06
0.0,1.0,0.22912181913852692,0.00015058105054777116
0.0,0.0,0.41180410981178284,2.8183289941807743e-06
0.0,1.0,0.2331928163766861,1.8668386019271566e-06
0.0,1.0,0.1257294863462448,1.7874133391160285e-06
0.0,1.0,0.062096014618873596,0.0013271303614601493
0.0,1.0,0.06865435838699341,3.1947290608513867e-06
0.0,1.0,0.05980246886610985,1.3879477592126932e-05
0.0,0.0,0.16039778292179108,0.00014096505765337497
0.0,0.0,0.03282880410552025,0.0015464475145563483
0.0,1.0,0.9282151460647583,0.00024669908452779055
0.0,1.0,0.3620920479297638,6.897128514538053e-06
0.0,1.0,0.9061587452888489,0.001522101927548647
0.0,1.0,0.9828137159347534,3.6949666082364274e-06
0.0,0.0,0.03528071939945221,4.580322183755925e-07
0.0,0.0,0.12721557915210724,1.7426393696950981e-06
0.0,0.0,0.02080976404249668,0.0007144875125959516
0.0,0.0,0.15326575934886932,1.2138876627432182e-05
0.0,1.0,0.1481417566537857,0.003622327232733369
0.0,0.0,0.22258667647838593,0.0003507072979118675
0.0,0.0,0.06748685985803604,1.9558070562197827e-05
0.0,0.0,0.08590172976255417,0.00015797431115061045
0.0,0.0,0.017117634415626526,0.00264754262752831
0.0,0.0,0.04448596388101578,0.0004843781644012779
0.0,0.0,0.025630658492445946,0.000894575088750571
0.0,0.0,0.02088933065533638,9.507686627330258e-05
0.0,1.0,0.8087641000747681,5.478181719809072e-06
0.0,0.0,0.005514435935765505,1.0258082511427347e-05
0.0,1.0,0.7861723899841309,6.17630394117441e-06
0.0,1.0,0.9037573337554932,1.0508686500543263e-05
0.0,0.0,0.0026536337099969387,0.00026095088105648756
0.0,0.0,0.02191762812435627,0.00047762118629179895
0.0,0.0,0.00353844091296196,0.2762678265571594
0.0,0.0,0.015124000608921051,7.0569722083746456e-06
0.0,0.0,0.06158379837870598,0.00013031644630245864
0.0,1.0,0.5872053503990173,0.0007579055381938815
0.0,0.0,0.018065325915813446,0.000668326742015779
0.0,0.0,0.0006788251339457929,0.00554878544062376
0.0,1.0,0.9830350875854492,0.07884734123945236
0.0,1.0,0.9137258529663086,2.2893858840689063e-05
0.0,0.0,0.0022107583936303854,0.0014373569283634424
0.0,0.0,0.004464993719011545,3.7024008634034544e-05
0.0,1.0,0.44780972599983215,5.280978712107753e-06
0.0,0.0,0.007337785325944424,0.013541004620492458
0.0,0.0,0.008393822237849236,0.0004571156750898808
0.0,0.0,0.0017043808475136757,4.5311062422115356e-05
0.0,0.0,0.763425350189209,0.0008067660382948816
0.0,0.0,0.011413410305976868,5.006177889299579e-05
1.0,0.0,0.17649205029010773,7.629729225300252e-05
0.0,0.0,0.023650357499718666,0.0007226138841360807
0.0,0.0,0.35905709862709045,0.05717366561293602
0.0,0.0,0.01414846908301115,0.00011357598850736395
0.0,0.0,0.06504716724157333,3.1769918678037357e-06
0.0,0.0,0.04164392128586769,8.9824061433319e-05
0.0,0.0,0.016558991745114326,0.00041705684270709753
0.0,0.0,0.2918728291988373,0.0001772362447809428
0.0,0.0,0.033170539885759354,2.9168071705498733e-05
0.0,0.0,0.2192942351102829,3.255865885876119e-05
0.0,0.0,0.33549755811691284,1.8132612922272529e-06
0.0,0.0,0.019034402444958687,5.0048987759510055e-05
0.0,0.0,0.01151647325605154,0.0008572869701310992
0.0,1.0,0.6732897758483887,7.573334005428478e-05
0.0,0.0,0.008789127692580223,0.004552767146378756
0.0,0.0,0.008697062730789185,0.0010957411723211408
0.0,0.0,0.008282220922410488,0.0028790365904569626
0.0,0.0,0.10840538144111633,0.004287347197532654
0.0,0.0,0.009593608789145947,0.04618517681956291
0.0,0.0,0.3021746873855591,0.11448248475790024
0.0,0.0,0.020463697612285614,0.0007663574069738388
0.0,0.0,0.01939745619893074,0.0004793479456566274
0.0,0.0,0.13756589591503143,0.00039685354568064213
0.0,0.0,0.1308111697435379,0.0006457240087911487
0.0,0.0,0.3802605867385864,0.011269913986325264
0.0,0.0,0.15757454931735992,0.00927117932587862
0.0,0.0,0.17753472924232483,0.001547482330352068
0.0,0.0,0.12706390023231506,0.0001327041391050443
0.0,0.0,0.0773337259888649,5.776595571660437e-05
0.0,0.0,0.31122419238090515,0.0002576180559117347
0.0,0.0,0.014534281566739082,0.003093315986916423
0.0,0.0,0.014823227189481258,0.0007993322215043008
0.0,0.0,0.19482603669166565,0.024743329733610153
0.0,0.0,0.05575553700327873,0.0005105780437588692
0.0,0.0,0.26333409547805786,3.5191480947105447e-06
0.0,0.0,0.2665720582008362,0.0025063559878617525
0.0,0.0,0.09494275599718094,0.0004052049480378628
0.0,0.0,0.8803754448890686,5.952131687081419e-05
0.0,0.0,0.21414178609848022,0.0005064693395979702
0.0,0.0,0.9691481590270996,0.00040108931716531515
0.0,0.0,0.9646885991096497,0.0002820512745529413
0.0,0.0,0.07972108572721481,7.144168648665072e-06
0.0,0.0,0.16017034649848938,3.5689859942067415e-05
0.0,0.0,0.2168111652135849,4.1988531052084e-07
0.0,0.0,0.19825859367847443,1.1874635674757883e-05
0.0,0.0,0.9419246912002563,0.00021536134590860456
0.0,0.0,0.09642986208200455,0.000820418237708509
0.0,0.0,0.044863440096378326,1.8592289052321576e-05
0.0,0.0,0.0049165841192007065,0.007877884432673454
0.0,0.0,0.021219531074166298,3.786718298215419e-05
0.0,0.0,0.05956503748893738,0.0010540998773649335
0.0,0.0,0.02229866199195385,5.191804302739911e-05
0.0,0.0,0.004776044748723507,7.72570820117835e-06
0.0,0.0,0.9473977088928223,5.716087980545126e-05
0.0,0.0,0.00647817412391305,0.0024522137828171253
0.0,0.0,0.8988027572631836,0.0003085607022512704
0.0,0.0,0.945824384689331,4.5172611862653866e-05
